name,recruiting,companyInform,companyType,companyDate
(주)디엔솔루션즈,1,중견기업,전자 응용 절삭기계 제조업,9년차
에어서울(주),0,대기업,항공 여객 운송업,10년차
(주)뷰웍스,5,중견기업,그 외 기타 의료용 기기 제조업,26년차
(주)디앤오,3,"대기업,1000대기업",건물 및 토목 엔지니어링 서비스업,23년차
(주)마녀공장,3,중견기업,화장품 제조업,13년차
삼성이앤에이(주),0,"대기업,1000대기업",기타 엔지니어링 서비스업,47년차
(주)경보제약,2,"1000대기업,중견기업",완제 의약품 제조업,38년차
(주)유한건강생활,4,중견기업,건강기능식품 제조업,8년차
콜마비앤에이치(주),1,중견기업,의약용 화합물 및 항생물질 제조업,11년차
자화전자(주),2,중견기업,전자감지장치 제조업,38년차
