company,title,link,location,experience,education,employmentType,deadline,sector,createdAt
리즈앤마리안산부인과,"[정규직] 방사선사 ,초음파사 채용 모집 공고",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49551606&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,충남 천안시 서북구,경력무관,초대졸↑,정규직,~ 12/25(수),"방사선사, 초음파사, 전문병원",등록일24/12/09
(주)에스에이치아이엔티,(주)SH-INT (진영)품질관리팀 검사원 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49583185&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경남 김해시,경력무관,고졸↑,정규직,~ 12/31(화),"단순생산직, 외관검사원, 품질검사원, 품질분석, 품질관리 외",등록일24/12/13
아피아엔지니어링,CATIA 설계자 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49572402&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경남 진주시,경력무관,초대졸↑,정규직·계약직,~ 01/10(금),"설계엔지니어, 기계설계, 시스템설계, 2D설계, 3D설계",등록일24/12/11
(주)케이엔델,화장품 제조회사 연구원 경력직 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527528&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경기 수원시 영통구,경력5년↑,초대졸↑,정규직,~ 12/20(금),"연구원, R&D, 의약외품연구, 화장품, 화장품",수정일24/12/13
(주)휴온스바이오파마,[휴온스바이오파마] 2024년 생산경영부 수시채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432274&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,충북 제천시,경력무관,초대졸↑,정규직·계약직,오늘마감,"RA, 인증심사원, 제약/바이오, 제약/바이오, 자재관리",수정일24/12/06
검단탑병원,[검단탑병원] 총무팀 팀원 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506650&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,인천 서구,경력무관,초대졸↑,계약직,~ 01/01(수),"병원총무, 병원행정사, 보건소, 종합병원, 종합병원",수정일24/12/02
검단탑병원,[검단탑병원] 홍보팀 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49550894&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,인천 서구,경력무관,초대졸↑,계약직,~ 12/31(화),"기업홍보, 웹디자인, PhotoShop, 종합병원",수정일24/12/11
검단탑병원,[검단탑병원] 검진 마케팅팀 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49575894&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,인천 서구,경력무관,초대졸↑,계약직,~ 01/01(수),"영업, 검진센터, 종합병원, 영업마케팅, 병원마케팅",등록일24/12/12
(주)유진테크원,구매자재 담당자 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525574&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,인천 연수구,경력5년↑,초대졸↑,정규직,채용시,"구매관리, 자재관리, 재고관리, 창고관리, 구매기획",등록일24/12/04
디파인시스템(주),[디파인시스템] SW개발 팀원 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49561221&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경남 창원시,신입·경력,학력무관,정규직,~ 12/31(화),"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, S/W",등록일24/12/10
